d,n,n_eff,omega,queries,disjoint_bound,equiv
2,2,2,1,59,66,True
2,2,2,1,58,66,True
2,2,2,1,56,66,True
2,3,3,2,132,99,True
2,3,3,3,237,99,True
2,3,3,2,87,99,True
2,5,5,2,139,165,True
2,5,5,4,224,165,True
2,5,5,2,285,165,True
2,8,8,2,379,264,True
2,8,8,3,913,264,True
2,8,6,4,505,264,True
2,12,12,5,1169,396,True
2,12,10,3,1036,396,True
2,12,10,5,1455,396,True
3,2,2,1,84,98,True
3,2,2,1,550,98,True
3,2,2,1,84,98,True
3,3,3,1,125,147,True
3,3,3,1,129,147,True
3,3,3,1,124,147,True
3,5,5,1,1890,245,True
3,5,5,2,217,245,True
3,5,5,1,201,245,True
3,8,8,3,7609,392,True
3,8,8,2,6724,392,True
3,8,8,3,8545,392,True
3,12,12,5,33018,588,True
3,12,12,4,9924,588,True
3,12,12,2,23378,588,True
4,2,2,1,81,98,True
4,2,2,1,81,98,True
4,2,2,1,82,98,True
4,3,3,1,113,147,True
4,3,3,1,117,147,True
4,3,3,1,120,147,True
4,5,5,1,6401,245,True
4,5,5,2,3170,245,True
4,5,5,2,6810,245,True
4,8,8,1,325,392,True
4,8,8,2,313,392,True
4,8,8,1,43656,392,True
4,12,12,3,345279,588,True
4,12,12,2,24983,588,True
4,12,12,3,223727,588,True
