n,q_listed,bound_listed,q_tree,ratio,equiv
5,983,1045,139,7.071942446043166,True
2,393,418,37,10.621621621621621,True
6,1149,1254,174,6.603448275862069,True
4,773,836,100,7.73,True
6,1171,1254,171,6.847953216374269,True
13,2524,2717,306,8.248366013071895,True
6,1166,1254,145,8.041379310344828,True
3,581,627,53,10.962264150943396,True
14,2716,2926,322,8.434782608695652,True
10,1912,2090,255,7.4980392156862745,True
23,4434,4807,492,9.012195121951219,True
16,3066,3344,347,8.835734870317003,True
20,3847,4180,419,9.181384248210025,True
16,3095,3344,344,8.997093023255815,True
19,3655,3971,419,8.723150357995227,True
51,9824,10659,863,11.383545770567787,True
14,2689,2926,233,11.540772532188841,True
42,8105,8778,714,11.3515406162465,True
25,4800,5225,452,10.619469026548673,True
36,6911,7524,593,11.654300168634064,True
67,12845,14003,1156,11.11159169550173,True
79,15115,16511,1391,10.86628324946082,True
75,14493,15675,1299,11.15704387990762,True
84,16102,17556,1463,11.006151742993849,True
64,12339,13376,1136,10.861795774647888,True
91,17536,19019,1553,11.291693496458468,True
111,21327,23199,1866,11.429260450160772,True
95,18358,19855,1655,11.092447129909365,True
90,17288,18810,1548,11.167958656330748,True
115,22197,24035,1946,11.406474820143885,True
396,76076,82764,6032,12.612068965517242,True
355,68656,74195,5355,12.82091503267974,True
298,57522,62282,4490,12.811135857461025,True
332,63716,69388,5000,12.7432,True
321,62031,67089,4870,12.737371663244353,True
601,116205,125609,9041,12.853113593629024,True
373,71929,77957,5569,12.915963368647873,True
610,117465,127490,9114,12.888413429888084,True
407,77847,85063,6087,12.789058649581074,True
595,114393,124355,8921,12.822889810559355,True
