m,beta,queries,upper,lower_info,equiv
6,5,170,197,9.644376378512879,True
3,2,69,80,6.415037499278844,True
4,3,103,119,7.752178045321076,True
6,5,171,197,9.644376378512879,True
3,2,70,80,6.415037499278844,True
3,2,68,80,6.415037499278844,True
1,0,2,2,0,True
6,5,170,197,9.644376378512879,True
2,1,36,41,4.4165082750002025,True
4,3,101,119,7.752178045321076,True
8,7,182,275,11.041270687500505,True
9,8,199,314,11.631979646980199,True
8,7,181,275,11.041270687500505,True
8,7,179,275,11.041270687500505,True
9,8,203,314,11.631979646980199,True
10,9,229,353,12.170394384785778,True
3,2,57,80,6.415037499278844,True
16,15,376,587,14.679032527093563,True
14,13,337,509,13.950834987423496,True
11,10,271,392,12.665595192276951,True
19,18,407,704,15.626660896535716,True
15,14,326,548,14.325882915370185,True
19,18,407,704,15.626660896535716,True
11,10,227,392,12.665595192276951,True
10,9,212,353,12.170394384785778,True
19,18,410,704,15.626660896535716,True
14,13,307,509,13.950834987423496,True
21,20,452,782,16.180010753584185,True
18,17,392,665,15.327774489894294,True
28,27,613,1055,17.744288664550655,True
32,31,561,1211,18.43630727486213,True
31,30,538,1172,18.274822137678747,True
45,44,760,1718,19.97958285603689,True
31,30,534,1172,18.274822137678747,True
38,37,656,1445,19.265644843299523,True
36,35,603,1367,19.014015098599543,True
18,17,315,665,15.327774489894294,True
40,39,690,1523,19.494874563861238,True
27,26,465,1016,17.550800036964446,True
20,19,332,743,15.910363361883128,True
51,50,888,1952,20.415746618819824,True
128,127,2208,4955,18.11380452712672,True
64,63,1129,2459,20.922003423208167,True
55,54,978,2108,20.630145234384905,True
70,69,1213,2693,20.989395063319893,True
108,107,1833,4175,19.684309834883216,True
75,74,1310,2888,20.977742878944856,True
71,70,1267,2732,20.99177892833309,True
66,65,1137,2537,20.9549148142525,True
77,76,1330,2966,20.9571668320427,True
145,144,2481,5618,16.425030968522712,True
86,85,1447,3317,20.761860776291115,True
53,52,904,2030,20.530051424688583,True
116,115,1955,4487,19.115751626107667,True
120,119,2045,4643,18.80077906754897,True
132,131,2296,5111,17.743353509723786,True
111,110,1894,4292,19.48102548198032,True
108,107,1793,4175,19.684309834883216,True
70,69,1187,2693,20.989395063319893,True
104,103,1781,4019,19.935927079115142,True
294,293,4384,11429,0.0,True
404,403,6133,15719,0.0,True
358,357,5442,13925,0.0,True
336,335,5069,13067,0.0,True
302,301,4558,11741,0.0,True
364,363,5476,14159,0.0,True
179,178,2707,6944,12.264094138735258,True
363,362,5504,14120,0.0,True
348,347,5189,13535,0.0,True
302,301,4632,11741,0.0,True
625,624,9359,24338,0.0,True
377,376,5669,14666,0.0,True
423,422,6330,16460,0.0,True
531,530,8046,20672,0.0,True
532,531,8002,20711,0.0,True
474,473,7077,18449,0.0,True
649,648,9706,25274,0.0,True
661,660,9911,25742,0.0,True
580,579,8737,22583,0.0,True
582,581,8710,22661,0.0,True
1049,1048,14652,40874,0.0,True
1059,1058,14940,41264,0.0,True
757,756,10570,29486,0.0,True
1007,1006,14125,39236,0.0,True
1078,1077,15029,42005,0.0,True
1213,1212,16919,47270,0.0,True
1200,1199,16659,46763,0.0,True
1144,1143,15969,44579,0.0,True
1011,1010,14170,39392,0.0,True
1133,1132,15837,44150,0.0,True
3090,3089,41061,120473,0.0,True
3369,3368,44713,131354,0.0,True
3333,3332,44145,129950,0.0,True
3081,3080,40829,120122,0.0,True
3671,3670,48756,143132,0.0,True
3333,3332,44270,129950,0.0,True
3026,3025,40117,117977,0.0,True
2918,2917,38781,113765,0.0,True
3274,3273,43311,127649,0.0,True
3062,3061,40685,119381,0.0,True
