d,m,q_idq,q_mq,ratio,equiv
2,2,13,18,1.3846153846153846,True
2,4,33,36,1.0909090909090908,True
2,6,54,55,1.0185185185185186,True
2,6,51,49,0.9607843137254902,True
2,7,63,71,1.126984126984127,True
2,4,31,29,0.9354838709677419,True
2,4,29,39,1.3448275862068966,True
2,5,39,29,0.7435897435897436,True
2,7,59,49,0.8305084745762712,True
2,4,34,47,1.3823529411764706,True
2,9,78,122,1.564102564102564,True
2,8,73,131,1.7945205479452055,True
2,6,55,36,0.6545454545454545,True
2,9,74,156,2.108108108108108,True
2,10,91,181,1.989010989010989,True
2,21,183,502,2.7431693989071038,True
2,21,181,600,3.314917127071823,True
2,23,197,643,3.263959390862944,True
2,20,172,524,3.046511627906977,True
2,19,166,417,2.5120481927710845,True
2,30,242,756,3.12396694214876,True
2,43,360,1698,4.716666666666667,True
2,29,241,915,3.796680497925311,True
2,37,306,1334,4.359477124183006,True
2,35,301,1321,4.3887043189368775,True
3,3,21,27,1.2857142857142858,True
3,6,54,241,4.462962962962963,True
3,3,24,36,1.5,True
3,5,42,145,3.4523809523809526,True
3,7,58,382,6.586206896551724,True
3,9,86,779,9.05813953488372,True
3,10,90,1350,15.0,True
3,11,108,1387,12.842592592592593,True
3,9,88,869,9.875,True
3,8,75,551,7.346666666666667,True
3,13,133,2652,19.93984962406015,True
3,12,117,1933,16.521367521367523,True
3,14,138,2537,18.384057971014492,True
3,6,58,187,3.2241379310344827,True
3,11,104,1456,14.0,True
3,20,204,8269,40.53431372549019,True
3,12,118,2394,20.28813559322034,True
3,21,212,8439,39.806603773584904,True
3,18,181,6057,33.46408839779006,True
3,19,187,5413,28.946524064171122,True
3,12,121,2198,18.165289256198346,True
3,18,175,5445,31.114285714285714,True
3,12,113,1893,16.75221238938053,True
3,27,265,13991,52.79622641509434,True
3,18,180,6097,33.87222222222222,True
3,3,36,27,0.75,True
3,6,94,272,2.893617021276596,True
3,3,40,69,1.725,True
3,5,72,167,2.3194444444444446,True
3,7,110,439,3.9909090909090907,True
3,9,112,961,8.580357142857142,True
3,10,134,1512,11.283582089552239,True
3,11,141,1476,10.46808510638298,True
3,9,107,1053,9.841121495327103,True
3,8,104,745,7.163461538461538,True
3,13,176,2804,15.931818181818182,True
3,12,161,2315,14.378881987577639,True
3,14,187,3010,16.09625668449198,True
3,6,80,230,2.875,True
3,11,139,1404,10.100719424460431,True
3,20,278,9264,33.32374100719424,True
3,12,153,2576,16.836601307189543,True
3,21,281,11167,39.74021352313167,True
3,18,245,6871,28.044897959183672,True
3,19,247,8015,32.449392712550605,True
4,3,21,87,4.142857142857143,True
4,4,33,284,8.606060606060606,True
4,4,33,287,8.696969696969697,True
4,4,33,256,7.757575757575758,True
4,4,34,192,5.647058823529412,True
4,7,68,2617,38.48529411764706,True
4,13,128,24671,192.7421875,True
4,9,90,6278,69.75555555555556,True
4,5,44,717,16.295454545454547,True
4,10,95,9053,95.29473684210527,True
4,10,99,9349,94.43434343434343,True
4,3,25,81,3.24,True
4,13,127,24663,194.1968503937008,True
4,6,56,1387,24.767857142857142,True
4,11,104,15066,144.8653846153846,True
4,17,189,73498,388.8783068783069,True
4,5,51,1200,23.529411764705884,True
4,10,108,12951,119.91666666666667,True
4,16,177,75571,426.954802259887,True
4,16,170,63383,372.8411764705882,True
