d,n,q_listed,q_tree,ratio
2,36,977,295,3.311864406779661
2,28,757,237,3.1940928270042193
2,30,806,236,3.4152542372881354
2,36,963,293,3.2866894197952217
2,37,1013,319,3.175548589341693
2,37,1019,314,3.245222929936306
3,27,1084,272,3.985294117647059
3,47,1824,456,4.0
3,34,1321,337,3.919881305637982
3,37,1438,370,3.8864864864864863
3,39,1524,371,4.107816711590297
3,37,1450,372,3.8978494623655915
4,31,1615,324,4.984567901234568
4,46,2407,500,4.814
4,23,1197,249,4.807228915662651
4,50,2511,539,4.658627087198516
4,30,1540,343,4.489795918367347
4,35,1762,379,4.649076517150395
5,20,1286,238,5.4033613445378155
5,27,1722,319,5.398119122257054
5,28,1823,328,5.557926829268292
5,36,2308,412,5.601941747572815
5,21,1377,246,5.597560975609756
5,38,2429,445,5.4584269662921345
6,65,5062,777,6.514800514800514
6,46,3596,550,6.538181818181818
6,30,2345,361,6.49584487534626
6,33,2535,394,6.434010152284264
6,26,2060,291,7.079037800687285
6,26,2045,307,6.6612377850162865
8,29,3005,338,8.890532544378699
8,36,3713,432,8.594907407407407
8,37,3866,429,9.011655011655012
8,30,3151,350,9.002857142857144
8,30,3104,354,8.768361581920903
8,33,3494,401,8.713216957605985
10,36,4687,430,10.9
10,33,4303,396,10.866161616161616
10,40,5196,472,11.008474576271187
10,55,7228,651,11.102918586789555
10,15,1933,173,11.173410404624278
10,58,7511,684,10.980994152046783
12,33,5146,392,13.127551020408163
12,17,2638,199,13.256281407035177
12,28,4399,327,13.452599388379205
12,15,2357,177,13.31638418079096
12,29,4509,349,12.919770773638968
12,21,3268,257,12.715953307392995
