m,N,witnessed_leaves,discovered_leaves,probes,error,bound
32,8,4,5,137,0.04755,1.4715177646857693
32,16,7,8,220,0.09325,0.7357588823428847
32,32,7,8,314,0.0767,0.36787944117144233
32,64,13,13,536,0.0152,0.18393972058572117
32,128,18,24,1121,0.0037,0.09196986029286058
32,512,22,26,3398,0.00635,0.022992465073215146
31,7,5,7,135,0.23595,1.6291803823306732
31,15,8,11,267,0.1058,0.760284178420981
31,31,14,17,428,0.09485,0.36787944117144233
31,62,19,23,660,0.01055,0.18393972058572117
31,124,17,18,948,0.02345,0.09196986029286058
31,496,24,25,3266,0.00135,0.022992465073215146
45,11,7,8,203,0.12265,1.5049613502468095
45,22,9,11,307,0.1207,0.7524806751234048
45,45,12,16,503,0.0632,0.36787944117144233
45,90,19,25,886,0.02035,0.18393972058572117
45,180,23,25,1370,0.00935,0.09196986029286058
45,720,35,37,4671,0.0029,0.022992465073215146
145,36,19,27,941,0.16575,1.4817366380516428
145,72,32,41,1171,0.0802,0.7408683190258214
145,145,38,61,2355,0.0609,0.36787944117144233
145,290,58,71,3099,0.013,0.18393972058572117
145,580,71,78,4401,0.01225,0.09196986029286058
145,2320,95,99,14911,0.00345,0.022992465073215146
86,21,13,18,410,0.1753,1.5065539019401923
86,43,21,28,777,0.107,0.7357588823428847
86,86,24,31,1052,0.0469,0.36787944117144233
86,172,33,36,1495,0.0398,0.18393972058572117
86,344,44,51,3047,0.01045,0.09196986029286058
86,1376,53,59,9206,0.0048,0.022992465073215146
53,13,8,10,203,0.3064,1.4998161832374188
53,26,16,23,517,0.07835,0.7499080916187094
53,53,20,25,711,0.04215,0.36787944117144233
53,106,28,32,1131,0.01405,0.18393972058572117
53,212,32,32,1625,0.01895,0.09196986029286058
53,848,36,38,6174,0.0026,0.022992465073215146
440,110,61,107,2893,0.1433,1.4715177646857693
440,220,105,147,3870,0.0763,0.7357588823428847
440,440,134,186,6039,0.05205,0.36787944117144233
440,880,192,233,9367,0.04515,0.18393972058572117
440,1760,257,289,13603,0.0109,0.09196986029286058
440,7040,341,365,47675,0.0021,0.022992465073215146
410,102,47,77,2239,0.10085,1.4787310870616799
410,205,73,113,3215,0.0968,0.7357588823428847
410,410,122,170,5611,0.04025,0.36787944117144233
410,820,151,199,7488,0.0337,0.18393972058572117
410,1640,203,243,12811,0.01455,0.09196986029286058
410,6560,285,309,41943,0.00225,0.022992465073215146
449,112,69,104,2691,0.13355,1.4748024025533715
449,224,94,147,4137,0.0814,0.7374012012766857
449,449,134,185,5654,0.05275,0.36787944117144233
449,898,186,230,8452,0.02195,0.18393972058572117
449,1796,234,275,13985,0.0116,0.09196986029286058
449,7184,305,335,47883,0.0014,0.022992465073215146
